URL,Name,Date,Organisation,Eligibility,Region,Keywords,Label
https://dare2compete.com/hackathons/27318/nec-iit-bombay-presents-hashtrix/oriental-institute-of-science-and-technology-oist-bhopal,NEC IIT Bombay Presents Hashtrix,19th Nov'17,"Oriental Institute Of Science And Technology (OIST), Bhopal",Engineering Students,India,"Hackathon,Engineering,Coding",0
https://dare2compete.com/hackathons/27307/nec-iit-bomaby-presents-hackstack/harcourt-butler-technical-university-hbtu-kanpur,NEC IIT Bomaby Presents HackStack,18th Nov'17  to 19th Nov'17,"Harcourt Butler Technical University (HBTU), Kanpur",All,India,"Hackathon,Engineering,Coding,Entrepreneurship",0
https://dare2compete.com/competitions/27301/asia-pacific-international-conference/sydenham-institute-of-management-studies-and-research-and-entrepreneurship-education-simsree-mumb,Asia Pacific International Conference,4th Jan'18  to 5th Jan'18,"Sydenham Institute Of Management Studies And Research And Entrepreneurship Education (SIMSREE), Mumb","Corporate, MBA Students, Postgraduate",Global,"Competition,Business,Finance,Marketing,Operations,Conference,Paper Presentation",1
https://dare2compete.com/competitions/27295/interview-question-of-year-2017/pinterview,Interview Question Of Year 2017,28th Oct'17  to 31st Dec'17,PInterview,All,Global,"Competition,Others,Finance,Human Resource,Marketing,On Campus Quiz,Online Quiz",1
https://dare2compete.com/competitions/27266/the-great-analytics-quiz/black-feathers,The Great Analytics Quiz,19th Nov'17,Black Feathers,All,India,"Competition,Arts & Design,Business,Engineering,Others,Finance,Marketing",1
https://dare2compete.com/competitions/27285/paper-presentation-on-effect-of-app-based-learning-school-education-k-12/eldrok-india,"Paper Presentation On ""  Effect Of App Based Learning In School Education (K-12)""",27th Oct'17  to 15th Nov'17,Eldrok India,All,India,"Competition,Business,Article Writing,Marketing,Strategy,Case Study,Debates",1
https://www.amazon.in/b/ref=s9_acss_bw_cg_P2PLP1_5b1_w?node=13940446031&ref=p2p_tnc&,KDP Pen To Publish Contest,Nov-10-2017,Amazon,Age > 18,"India, Australia, Canada, UK, USA","competition, books",0
www.nmiff.in/film_submission_guid.php,Banjara International Film Festival 2017,Nov-30-2017,BIFF,All,Global,"fiction, drama, animation, documentary, social awareness",0
www.calguitar.in/cicgf17-competition-registration/,Spanish Guitar Competition 2017,Dec-14-2017,Calcutta Classical Guitar Society,Age: 18-30,India,"competition, guitar, music",0
http://www.contest.net.in/uploads/23591-Register.pdf,SSGK Maestro Olympiad,Nov-06-2017,CPS,class 10th,India,"social science, general knowledge, competition",0
http://www.ecell-iitkgp.org/empresario/info.php,Global Business Model Competition 2017,Dec-22-2017,"Entrepreneurship Cell, IIT Kharagpur",All,Kharagpur,"ideas, prototype, business model",0
http://www.contest.net.in/uploads/24423-GeoGeniusOlympiad.pdf,National Geography Olympiad 2017,Oct-31-2017,Geo Genius,"State board, CBSE, ICSE, International Boards",Mumbai,geography,0
http://www.accountingtalent.org/,NATS Talent Search,Dec-31-2017,IAA,"B.Com, BBA, BBM, Undergraduate",India,"commerce, management, competition",1
www.contest.net.in/uploads/22825-JIFF.doc,JIFF ISC Script Contest,Nov-15-2017,Jaipur Film Festival Trust,Story writers,India,"feature films, short films",0
http://www.kalamaharshi.org/maay-marathi.html,Maay Marathi Film Competition 2017,Oct-31-2017,Kalamaharshi Baburao Painter Film Society,Producers,India,"films, producers",0
http://www.icdcit.ac.in/project-innovation-contest-2018.html,Project Innovation Contest,Nov-07-2017,KIIT University,"B.E, Btech, MCA,BCA",India,"projects, ideas, Infromation Technology",0
https://developer.microsoft.com/en-us/windows/projects/campaigns/dream-build-play-rules,Dream Build Play 2017 Challenge,Dec-31-2017,Microsoft,Age > 18,Global,"games, competition",0
https://nkdamar.org/Pages/World_ED.aspx,Photography Competition 2017,May-31-2018,New Town Kolkata,All,India,"photography, competition",0
http://www.nipponpaint-ayda.co.in/index.php,Asia Young Designer Award Contest,Nov-20-2017,Nippon Paint,"Interior design, Architecture students",India,"architecture, community, competition",0
http://gyti.techpedia.in/GYTI-Announcement-2018,GYTI Innovation Awards,Nov-30-2017,SRISTI,Age: 18-22,India,"Entrepreneurship, Management, Marketing",1
https://www.dstharyana.org/html/whatsnew.htm,Haryana Vigyan / Yuva Vigyan Ratna Awards 2017-18,Nov-30-2017,HSCST,All Scientists,India,"scientists, science, technology",0
http://www.probono-india.in/update-detail.php?id=19,Dr. A P J Abdul Kalam National Legal Essay Competition 2017,Nov-15-2017,ProBono India,"LL.B., LL.M.,Ph.D.",India,"legal aid, awareness, issues, challenges",0
http://jurisedge.com/academy/events/jurisedge-1st-justice-p-n-bhagwati-research-paper-writing-competition-2017/,1st Justice P N Bhagwati Research Paper Writing Competition 2017,Nov-10-2017,Jurisedge Academy,"Undergraduate, Postgraduate",India,"indian judiciary, lawyers, research scholars",0
http://www.lawsisto.com/competitions,Best International Future Lawyer Award 2017,Nov-15-2017,LAWSISTO,"LL.B., LL.M",India,"counter terrorism, anti-corruption, human rights violations",0
http://archasm.in/,Archasm Architecture Competition 2017,Dec-31-2017,Amsterdam Art Bridge,Architecture students,Global,"art, gallery, amsterdam",0
http://lexquest.in/,4th National Essay Writing Competition 2018,Nov-30-2017,LexQuest,"Undergraduate, Postgraduate",India,"indian legal system, problems, solutions",0
https://scriptcontest.cinestaan.com/index.php,India?s Storytellers/ Script Contest 2017-2018,Jan-15-2018,Cinestaan,All,India,"scripts, competition",0
http://www.cgwb.gov.in/,Third National Essay Competition on Water 2017-18,Dec-31-2017,Central Ground Water Board,Age > 18,India,"pollution, natural resources",0
https://www.facebook.com/ITCHotels,Soul of Bengaluru Photo Contest 2017,Nov-02-2017,ITC Hotels,All,Bangalore,"photography, hotels",0
http://intolegalworld.com/registration/,1st International Article Writing Competition 2017,Nov-30-2017,Into Legal World,"LL.B., LL.M",India,"society, justice, trends, development, issues",0
https://www.mygov.in,"Combating Corruption, Battling Black Money Competition 2017",Nov-30-2017,MyGov,All,India,"corruption, black money",0
https://startup.ongc.co.in/wps/wcm/jsp/ongc-startup/solarchulha.html,Solar Chulha Innovation Challenge 2017,Dec-01-2017,Start-up ONGC,"Entrepreneurs, Researchers, Scientists",India,"ideas, oil, gas sector",0
